Region,Country,Avg. Price
Europe,United Kingdom,10314.2595
Europe,Czech Republic,14284.8027
Europe,Germany,21448.5623
Asia,Japan,12529.7991
Asia,South Korea,12727.8094
North America,United States,12269.7792
