Name,Avg. Price,Count of fact_car_sales
Volkswagen,16807.8981,14893
Vauxhall,10314.2595,13258
Toyota,12529.7991,6699
Skoda,14284.8027,6188
Mercedes-benz,24636.4264,12860
Hyundai,12727.8094,4774
Ford,12269.7792,17811
Bmw,22692.8887,10664
Audi,22853.9561,10565
