Decade,Region,Avg. Price
1970s,Europe,17747
1990s,Europe,5502.75
1990s,Asia,10992.5
1990s,North America,2849.5
2000s,Europe,4505.3924
2000s,Asia,3196.1929
2000s,North America,2931.4429
2010s,Europe,18137.1999
2010s,Asia,12509.2291
2010s,North America,12264.827
2020s,Europe,30348.7893
2020s,Asia,21209.0874
2020s,North America,20766.9842
