Manufacturer Name,Model Name,Max. Price
Mercedes-benz,G Class,159999
Mercedes-benz,Sl Class,149948
Audi,R8,145000
Mercedes-benz,A Class,140319
Mercedes-benz,S Class,124999
Bmw,2 Series,123456
Audi,Rs6,109495
Bmw,M4,99950
Hyundai,I10,92000
Skoda,Karoq,91874
